"EXPRNC" "EDUC" "MGT" "SALARY"
"1" 2 1 0 10535
"2" 1 2 0 11283
"3" 4 1 0 11417
"4" 1 3 0 11608
"5" 1 3 0 11767
"6" 2 2 0 11772
"7" 2 3 0 12195
"8" 3 2 0 12313
"9" 4 3 0 12321
"10" 6 1 0 12336
"11" 4 2 0 12884
"12" 5 2 0 13245
"13" 8 1 0 13548
"14" 5 3 0 13677
"15" 6 2 0 13839
"16" 10 1 0 14467
"17" 8 2 0 14803
"18" 11 1 0 14861
"19" 10 2 0 15942
"20" 13 1 0 15990
"21" 12 2 0 16882
"22" 16 1 0 17483
"23" 14 2 0 17949
"24" 16 2 0 18838
"25" 17 2 0 19207
"26" 20 1 0 19346
"27" 1 1 1 13876
"28" 3 1 1 14975
"29" 5 1 1 15965
"30" 7 1 1 16978
"31" 8 1 1 17404
"32" 1 3 1 18701
"33" 3 3 1 19800
"34" 4 3 1 20263
"35" 2 2 1 20872
"36" 6 3 1 21352
"37" 3 2 1 21371
"38" 8 3 1 22184
"39" 6 2 1 22884
"40" 10 3 1 23174
"41" 10 2 1 23780
"42" 12 3 1 24170
"43" 11 2 1 25410
"44" 15 3 1 25685
"45" 13 2 1 26330
"46" 16 2 1 27837
